Air Pressure (Hecta pascals),Air temp (deg celcius),Humidity (%),maximum Wind speed (km/h),water pressure (decibar),water temp (deg celcius)
1008.8,27.3,77.7,45,7.149,28.7874
1008.8,27.2,78.8,41.76,7.158,28.7802
1008.8,27.2,78.3,43.56,7.164,28.7647
1008.9,27.2,76.8,43.2,7.194,28.7675
1009,27.2,78.9,41.04,7.201,28.7735
1009,27.1,77.4,38.16,7.251,28.7881
1009.1,27.1,76.9,38.16,7.195,28.7969
1009.3,27.1,77.5,40.32,7.235,28.8145
1009.4,27,77,35.64,7.258,28.8246
1009.6,27,77.2,37.8,7.269,28.822
1009.6,26.9,77.3,38.52,7.288,28.9176
1009.8,26.9,79.5,37.08,7.307,28.9315
1009.9,26.8,78.6,37.08,7.305,28.9462
1010.1,26.8,79.1,37.08,7.33,28.9617
1010.3,26.8,79,37.08,7.333,28.9771
1010.5,26.7,79.8,37.08,7.351,28.9827
1010.8,26.9,80.6,35.28,7.383,28.9867
1011,26.7,80.3,33.48,7.34,29.0019
1011.1,26.8,79.9,33.84,7.359,29.0052
1011,26.7,80.1,33.84,7.37,29.0116
1011.1,26.7,81,35.64,7.356,29.0238
1011.1,26.6,81.4,33.84,7.337,29.026
1011.1,26.7,80.5,33.12,7.371,29.0334
1011.2,26.7,81.4,33.84,7.344,29.0343
1011.3,26.7,81.9,34.92,7.294,29.0328
1011.2,26.7,81.4,34.92,7.305,29.0272
1011.3,26.8,80.8,32.76,7.268,29.0247
1011.3,26.8,80.7,34.56,7.284,29.0167
1011.4,26.7,79.7,34.92,7.238,29.0128
1011.4,26.8,81,32.04,7.245,29.0132
1011.3,26.8,79.1,34.56,7.179,29.0158
1011.4,26.9,79.8,32.4,7.118,29.0103
1011.5,27,80.3,33.48,7.108,29.0145
1011.4,26.9,79.8,33.84,7.111,29.0215
1011.4,26.9,80.1,32.04,7.082,29.0289
1011.3,26.9,80.6,32.4,7.002,29.0338
1011.4,26.8,81,30.6,6.94,29.0364
1011.3,26.9,80.3,32.04,6.97,29.0418
1011.3,26.8,80.1,37.44,6.957,29.0427
1011.3,26.8,80.2,34.2,6.943,29.0432
1011.2,26.9,81.5,33.48,6.861,29.0486
1011,26.7,81.4,32.4,6.816,29.046
1010.9,26.8,80.9,31.68,6.798,29.0453
1010.7,26.8,81.2,34.92,6.745,29.0443
1010.7,26.8,80.5,33.12,6.724,29.0313
1010.7,26.8,81.9,33.12,6.658,29.0182
1010.6,26.8,80.2,30.96,6.589,29.0109
1010.4,26.8,80.4,32.76,6.578,29.0012
1010.3,26.9,80.8,33.48,6.544,29.0036
1010.3,26.9,80.6,37.08,6.479,29.0095
1010.1,26.8,79.5,33.12,6.424,29.0182
1010,26.7,80.8,33.12,6.407,29.0232
1009.8,26.8,79.8,34.56,6.361,29.0317
1009.8,26.7,79.9,32.76,6.323,29.0489
1009.7,26.7,80.3,34.92,6.267,29.0564
1009.7,26.7,80.8,34.2,6.226,29.0615
1009.7,26.7,80.6,33.84,6.209,29.0666
1009.5,26.6,80.6,33.84,6.186,29.0739
1009.6,26.7,80.5,38.88,6.129,29.0785
1009.4,26.7,80.3,34.56,6.109,29.0827
1009.3,26.6,80.4,33.84,6.062,29.0897
1009.2,26.6,81.4,31.32,6.019,29.1038
1009.3,26.5,80.8,33.84,5.986,29.1152
1009.6,26.6,81.4,33.12,5.938,29.1235
1009.5,26.6,81.5,35.28,5.913,29.1323
1009.5,26.6,81.7,35.64,5.868,29.1359
1009.5,26.7,80.5,35.64,5.842,29.1422
1009.5,26.6,80.8,35.28,5.848,29.1475
1009.5,26.8,79.5,36.72,5.781,29.1527
1009.4,26.9,80.5,34.2,5.753,29.154
1009.5,26.8,80.5,35.64,5.729,29.1573
1009.6,26.8,81.4,34.2,5.698,29.1622
1009.7,26.9,80.5,36.72,5.667,29.1653
1009.7,27,81.1,34.92,5.632,29.1654
1009.8,26.9,81.6,35.64,5.561,29.1678
1009.9,26.9,82.1,35.28,5.58,29.1742
1009.9,27,80,35.64,5.541,29.1646
1010,27.1,80.5,37.44,5.51,29.1644
1010.1,27,81.5,39.24,5.494,29.1618
1010.2,27,80.2,34.2,5.479,29.1626
1010.2,26.9,80.5,35.64,5.451,29.172
1010.3,27,80.3,37.44,5.413,29.1688
1010.3,27,80.7,39.6,5.39,29.1688
1010.4,27,80.5,38.88,5.366,29.1701
1010.5,27.1,80.4,37.44,5.321,29.1671
1010.5,27.1,79.9,37.44,5.295,29.1612
1010.7,27.1,79,36,5.273,29.1551
1010.7,27.2,80,36.72,5.235,29.1504
1010.9,27.2,80,36.36,5.225,29.1523
1010.9,27.3,79.5,41.04,5.202,29.1483
1010.9,27.3,80,38.52,5.169,29.1464
1010.9,27.3,78.8,36.72,5.142,29.1496
1011,27.1,78,38.88,5.138,29.1488
1011.1,27.3,77.5,36.72,5.114,29.1486
1011.1,27.3,77.9,39.96,5.078,29.1564
1011.2,27.3,78.3,38.16,5.081,29.1641
1011.3,27.4,78.6,40.68,5.048,29.1631
1011.4,27.5,79.4,38.16,5.043,29.1814
1011.4,27.3,78.6,37.8,5.047,29.185
1011.3,27.4,78.8,41.04,5.025,29.1771
1011.3,27.5,78.4,41.4,5.012,29.1546
1011.2,27.5,80,41.76,5,29.1379
1011.3,27.5,78.3,44.28,5.03,29.1283
1011.4,27.5,79,41.4,5.03,29.1279
1011.3,27.6,77.7,42.12,5.007,29.1118
1011.1,27.6,76.9,43.56,5.001,29.1009
1011.1,27.7,77.5,41.04,5.011,29.0939
1010.9,27.6,77.4,42.12,5.039,29.0854
1010.8,27.7,76.1,42.12,5.044,29.0875
1010.9,27.7,77,41.04,5.079,29.0869
1010.9,27.7,79.1,42.48,5.083,29.0763
1010.7,27.6,77.6,44.28,5.119,29.0673
1010.7,27.7,77.3,41.4,5.157,29.0599
1010.7,27.6,78.5,41.76,5.18,29.052
1010.6,27.7,78.9,41.04,5.231,29.0534
1010.4,27.7,76.3,42.12,5.249,29.052
1010.3,27.8,76.7,40.68,5.3,29.0522
1010.1,27.8,76.6,41.4,5.33,29.0534
1010,27.7,77.4,43.56,5.349,29.058
1010,27.8,77.2,43.92,5.403,29.063
1009.9,27.7,77.4,46.44,5.443,29.0657
1009.7,27.7,78.5,43.2,5.476,29.0679
1009.6,27.9,75.6,45,5.517,29.0642
1009.5,27.8,77.4,45.72,5.551,29.0632
1009.2,27.8,76.2,46.08,5.582,29.0626
1009.2,28,77,42.48,5.644,29.0613
1009.1,27.8,76.4,44.64,5.652,29.0556
1009,27.9,77.1,41.4,5.69,29.034
1008.9,28,76.1,43.56,5.733,29.038
1008.9,28,75,40.32,5.752,29.0311
1008.8,28,75.2,38.88,5.789,29.0279
1008.7,28.1,75.6,37.8,5.819,29.0293
1008.6,28,75.5,38.52,5.871,29.0232
1008.6,28,76.9,39.6,5.899,28.9397
1008.6,27.9,76.5,41.04,5.917,28.9221
1008.5,28,77.7,38.52,5.951,28.9357
1008.4,27.9,78.1,41.04,5.98,28.9536
1008.4,27.9,76.5,40.68,6.006,28.9497
1008.4,28,77,39.96,6.048,28.9419
1008.6,27.9,77,40.32,6.098,28.9306
1008.6,27.8,77.4,41.4,6.129,28.9229
1008.7,27.8,77.4,44.64,6.144,28.9147
1008.8,27.7,78.2,41.4,6.201,28.8894
1008.8,27.7,77.9,42.84,6.241,28.8416
1009,27.7,77.5,41.4,6.258,28.8462
1009.1,27.7,75.9,43.92,6.297,28.8591
1009.1,27.6,76.1,43.56,6.324,28.846
1009.3,27.6,77.2,49.32,6.374,28.8099
1009.3,27.5,76.2,46.44,6.408,28.7841
1009.5,27.5,78.1,44.28,6.421,28.7896
1009.7,27.5,79.2,42.48,6.452,28.7765
1009.9,27.5,78.1,44.28,6.489,28.7422
1010,27.5,78.1,44.28,6.513,28.7369
1010.2,27.5,78.5,40.68,6.546,28.7234
1010.4,27.5,78.2,41.76,6.568,28.6635
1010.6,27.5,77.9,43.56,6.576,28.6415
1010.7,27.6,78.2,41.04,6.642,28.6508
1010.9,27.3,79.5,38.88,6.649,28.6614
1011.1,27.3,80.6,33.84,6.685,28.6993
1011.3,27.4,80.6,38.16,6.709,28.7998
1011.2,27.5,78.4,44.64,6.717,28.8642
1011.3,27.5,79.3,39.96,6.717,28.9011
1011.6,27.4,79.5,40.32,6.723,28.9235
1011.6,27.4,79.6,33.48,6.762,28.9286
1011.6,27.4,80.2,36.72,6.768,28.9292
1011.8,27.3,80.4,38.16,6.792,28.939
1011.7,27.2,80.5,37.44,6.764,28.9457
1011.9,27.2,81.1,37.08,6.808,28.9492
1011.8,27.2,80.8,34.2,6.803,28.9532
1011.7,27.2,79.9,35.28,6.793,28.947
1011.8,27.3,78.9,37.08,6.807,28.9461
1011.9,27.3,79.2,38.88,6.762,28.9465
1011.9,27.3,79.2,35.28,6.781,28.9417
1011.8,27.3,80.6,34.2,6.774,28.938
1011.8,27.3,79.1,34.2,6.792,28.9386
1011.9,27.3,79.4,39.96,6.769,28.9367
1011.9,27.3,80.3,34.92,6.762,28.9386
1011.7,27.2,79.3,35.28,6.758,28.9417
1011.7,27.2,79.2,37.44,6.731,28.943
1011.7,27.3,80.3,37.08,6.752,28.9441
1011.7,27.2,80.3,34.92,6.686,28.9452
1011.7,27.3,79.3,38.88,6.68,28.9451
1011.6,27.3,78.2,40.68,6.648,28.943
1011.6,27.3,78.2,38.52,6.649,28.9406
1011.6,27.3,79.4,37.08,6.622,28.9256
1011.4,27.3,80.1,39.24,6.593,28.9137
1011.4,27.2,79.5,38.88,6.564,28.9081
1011.3,27.2,79.4,38.88,6.527,28.8958
1011.3,27.2,78.9,38.88,6.513,28.888
1011.2,27.3,78.9,39.96,6.483,28.8747
1011.1,27.3,78.7,45,6.431,28.8748
1011.2,27.2,79,43.92,6.4,28.8714
1011.1,27.3,79.4,43.2,6.381,28.8735
1011,27.3,79.3,41.76,6.355,28.8741
1010.8,27.2,77.9,41.76,6.302,28.8718
1010.8,27.4,79.2,42.84,6.274,28.8489
1010.6,27.3,78.7,41.76,6.236,28.8391
1010.5,27.4,79.7,45,6.204,28.8377
1010.4,27.2,77.5,46.44,6.178,28.818
1010.2,27.4,79.4,43.2,6.152,28.8156
1010.1,27.1,79.4,38.88,6.111,28.8135
1010,27.1,81.3,39.96,6.058,28.7969
1009.9,27,80.2,38.52,6.041,28.8234
1009.8,27.1,79.7,42.84,6.017,28.8456
1009.8,27.2,80.4,45.72,6.006,28.8665
1009.5,27,78.9,44.28,5.961,28.8825
1009.7,27,79.2,42.12,5.952,28.9104
1009.8,27.1,78.8,38.88,5.929,28.9137
1009.7,27.1,79.1,45.36,5.913,28.9383
1009.8,27,78.6,43.92,5.928,28.9446
1009.5,27.1,79.4,44.28,5.881,28.9521
1009.5,27,79.7,45,5.875,28.958
1009.6,27.1,80,42.84,5.849,28.9656
1009.7,27.1,79.5,46.08,5.817,28.9673
1009.7,27.1,78,51.12,5.804,28.9662
1009.9,27.1,79.5,42.84,5.814,28.9623
1009.8,27.2,79.7,44.28,5.798,28.9601
1009.7,27.2,78,46.44,5.787,28.956
1009.9,27.1,77.9,44.64,5.777,28.9487
1010,27.2,78.2,46.8,5.733,28.9473
1010.1,27.2,79.5,43.56,5.745,28.9478
1010.3,27.3,78.8,44.64,5.713,28.9493
1010.3,27.2,78.5,40.68,5.719,28.9499
1010.5,27.2,77.9,45.72,5.708,28.9475
1010.4,27.2,77.6,46.8,5.701,28.9452
1010.5,27.2,78,44.64,5.686,28.942
1010.6,27.3,78.7,39.24,5.685,28.9315
1010.6,27.3,77.7,47.88,5.675,28.9265
1010.7,27.3,78.1,46.8,5.653,28.9219
1011,27.2,78.9,42.12,5.635,28.9179
1011.2,27.4,78.4,47.16,5.613,28.917
1011.3,27.3,77.5,43.56,5.605,28.9183
1011.3,27.4,78.2,45.36,5.592,28.9109
1011.4,27.4,77.8,48.6,5.584,28.9048
1011.5,27.5,77.6,45.72,5.562,28.9001
1011.7,27.5,76.7,46.8,5.574,28.8979
1011.9,27.5,78.5,44.64,5.56,28.8961
1012,27.5,78.2,43.92,5.555,28.8943
1012,27.5,77,44.64,5.533,28.891
1012.1,27.6,79.2,42.84,5.533,28.8882
1012.1,27.5,77.4,45.36,5.529,28.8841
1012.2,27.6,77.6,46.8,5.531,28.8838
1012.1,27.6,76.5,44.28,5.513,28.8832
1012.1,27.6,77.1,49.68,5.509,28.8828
1012,27.6,77.3,46.08,5.506,28.8848
1011.9,27.6,78,47.88,5.494,28.8867
1011.9,27.5,77.3,48.6,5.532,28.8893
1011.8,27.6,76.5,48.6,5.554,28.891
1011.5,27.6,76.3,49.68,5.558,28.8938
1011.5,27.6,76.7,48.24,5.574,28.8938
1011.4,27.5,76.7,48.6,5.594,28.8929
1011.3,27.6,78.3,48.96,5.626,28.8938
1011.4,27.7,78.2,47.52,5.65,28.8951
1011.1,27.6,76.7,46.08,5.694,28.8954
1011,27.6,76.1,50.04,5.711,28.8972
1011,27.7,76.4,47.16,5.764,28.8933
1010.9,27.7,76,45.72,5.803,28.8945
1010.9,27.6,77.3,43.56,5.849,28.8925
1010.8,27.8,77.4,42.48,5.892,28.8954
1010.6,27.7,76.3,42.12,5.935,28.895
1010.5,27.7,76.5,43.92,5.974,28.8965
1010.5,27.7,77.6,45.72,6.018,28.8981
1010.4,27.8,75.8,45,6.079,28.901
1010.3,27.8,75.7,46.44,6.113,28.9003
1010.2,27.9,74.7,43.92,6.181,28.9032
1010.2,27.9,75.8,44.64,6.205,28.9027
1010.1,27.9,75.7,41.04,6.259,28.9017
1010,27.8,75.3,43.56,6.297,28.901
1009.9,27.9,76.9,42.84,6.361,28.9008
1009.7,27.9,76.3,41.76,6.399,28.9
1009.7,27.9,76.4,43.92,6.438,28.9004
1009.6,27.9,77.3,44.28,6.49,28.8918
1009.6,27.9,77.5,41.76,6.52,28.8871
1009.4,27.9,75.7,42.48,6.563,28.8817
1009.4,28.1,76.7,41.76,6.593,28.844
1009.2,27.8,74.6,46.08,6.661,28.8328
1009.4,27.9,75.3,43.56,6.693,28.8063
1009.3,27.9,75.4,38.88,6.741,28.7975
1009.4,27.9,75.8,39.96,6.762,28.7844
1009.4,27.8,76.3,41.04,6.767,28.7679
1009.5,27.9,76.7,40.68,6.83,28.7218
1009.6,27.9,76.1,42.84,6.85,28.6004
1009.7,28,75.5,42.12,6.912,28.5558
1009.8,27.9,76.2,41.4,6.948,28.5645
1009.9,27.6,77,39.24,6.944,28.6348
1010,27.6,76.1,38.88,6.986,28.7184
1010.1,27.6,77,37.44,6.973,28.6534
1010.1,27.6,76.5,40.68,7.017,28.729
1010.2,27.5,76.4,41.04,7.059,28.7456
1010.3,27.5,78.1,42.12,7.036,28.7533
1010.2,27.5,76.4,40.68,7.079,28.7645
1010.3,27.5,77.6,42.12,7.075,28.7852
1010.3,27.5,78.5,43.56,7.138,28.7843
1010.4,27.5,78.3,41.76,7.13,28.7974
1010.6,27.5,77.3,40.32,7.143,28.8034
1010.7,27.4,78.3,38.52,7.176,28.804
1010.7,27.3,76.6,41.04,7.208,28.8109
1010.8,27.5,77.5,41.04,7.194,28.8138
1011,27.5,78.8,43.2,7.216,28.8151
1011.1,27.3,77.8,40.32,7.252,28.8205
1011.3,27.5,77.8,39.6,7.248,28.829
1011.3,27.3,78.1,38.88,7.286,28.8606
1011.6,27.4,78.7,39.96,7.295,28.8778
1011.8,27.4,78.3,38.16,7.342,28.9506
1011.9,27.3,77.5,38.52,7.306,28.9626
1012.1,27.3,78.3,38.16,7.36,28.9698
1012.3,27.3,79,37.44,7.288,29.0103
1012.4,27.3,78.1,42.12,7.329,29.0289
1012.5,27.3,78,38.52,7.362,29.0372
1012.4,27.2,77.8,40.32,7.328,29.045
1012.6,27.2,80,37.44,7.367,29.0489
1012.4,27.2,79.3,38.52,7.356,29.0552
1012.6,27.1,80.5,38.16,7.313,29.0549
1012.6,27.1,80.1,35.64,7.34,29.0561
1012.4,27.2,78.2,39.96,7.343,29.0599
1012.3,27.2,78.3,43.56,7.339,29.0666
1012.4,27.3,78.2,43.2,7.282,29.074
1012.3,27.2,77.7,40.32,7.325,29.0812
1012.1,27,80,45,7.284,29.0909
1012.2,27,79.8,40.68,7.265,29.098
1012.3,27.1,78.9,36.72,7.221,29.1038
1012.3,27.2,79.6,38.52,7.207,29.1094
1012.3,27.2,77.7,40.68,7.185,29.112
1012.4,27.2,78.6,40.32,7.163,29.1188
1012.4,27.2,77.6,41.4,7.122,29.1326
1012.3,27.2,77.4,38.88,7.093,29.152
1012.2,27.2,77.8,36.36,7.055,29.1628
1012.1,27.1,79,36.36,7.022,29.178
1012.1,27.1,79.2,39.6,6.976,29.2008
1012,27.2,79.8,38.52,6.927,29.2074
1012,27.2,80.5,34.92,6.909,29.2118
1012,27.1,79.4,38.16,6.849,29.1991
1011.9,27.2,79.3,37.44,6.799,29.1991
1011.8,27.2,79.9,35.64,6.761,29.1669
1011.7,27.1,78.9,34.92,6.708,29.1127
1011.5,27.1,78.3,37.44,6.685,29.0748
1011.4,27.1,79.4,36.36,6.629,29.068
1011.3,27,77.6,37.8,6.578,29.0591
1011.2,27.1,79.4,35.28,6.534,29.0465
1011.3,27,78.9,38.52,6.487,29.0518
1011.2,27,78.5,39.24,6.442,29.0594
1011.3,27.1,77.9,38.88,6.396,29.0657
1011.3,27.1,78.5,36,6.341,29.07
1011.2,27.2,78.9,36.72,6.299,29.0795
1011,27.2,77.9,38.88,6.239,29.0896
1011,27.1,77.8,34.92,6.207,29.0971
1011.1,27.1,78.1,38.88,6.144,29.1063
1011,27.1,79.7,34.2,6.113,29.1129
1011.1,27,78.5,34.56,6.063,29.1245
1011,27,78.5,30.6,6.036,29.1312
1011,27.1,79.3,32.4,5.973,29.1403
1011,27,77.7,36.36,5.943,29.1476
1011,27,79.5,37.44,5.899,29.1528
1010.9,27,78.8,37.44,5.869,29.1718
1010.9,27,78.6,37.8,5.845,29.1748
1011.1,27,78.6,36,5.799,29.1802
1011.1,26.9,77.7,36.36,5.769,29.1812
1011.1,27,77.4,36.72,5.742,29.1812
1011.3,26.9,78.7,34.2,5.698,29.1873
1011.4,27,77.3,36,5.669,29.2171
1011.5,27.1,78.9,32.76,5.636,29.2218
1011.6,26.9,77.8,32.04,5.619,29.2226
1011.7,27,78,32.04,5.599,29.2336
1011.7,27,78.9,30.24,5.558,29.2382
1011.7,26.9,79.2,29.88,5.549,29.242
1011.8,26.8,79.6,27.36,5.522,29.242
1012,26.8,79,27.36,5.495,29.2397
1012.1,26.8,80,26.28,5.494,29.236
1012.3,26.9,78.9,25.56,5.457,29.2395
1012.2,26.7,81,25.56,5.415,29.2431
1012.3,26.7,80.5,25.92,5.414,29.2453
1012.4,26.6,80,26.28,5.387,29.2524
1012.5,26.7,80.2,28.44,5.365,29.2537
1012.6,26.6,80.4,27,5.341,29.258
1012.6,26.6,81.3,27.72,5.314,29.2631
1012.8,26.7,81,28.08,5.304,29.2665
1013,26.8,81.1,28.44,5.27,29.2842
1013.2,26.8,80.9,26.64,5.241,29.2866
1013.3,26.9,79.7,29.52,5.222,29.2913
1013.4,27.1,79.1,29.88,5.201,29.2917
1013.5,27.2,78.3,29.52,5.174,29.2966
1013.6,27.1,77.6,28.08,5.152,29.3004
1013.6,27.2,77.3,30.96,5.129,29.3128
1013.6,27.4,77.5,30.6,5.113,29.3272
1013.5,27.4,77.5,28.8,5.086,29.3354
1013.5,27.3,76.7,29.88,5.082,29.3369
1013.6,27.4,77.8,30.6,5.06,29.3351
1013.5,27.4,77,29.16,5.044,29.3367
1013.5,27.6,76.7,29.16,5.033,29.3574
1013.4,27.5,75.8,32.76,5.01,29.3982
1013.4,27.5,76.4,30.24,5.001,29.4491
1013.4,27.5,76.6,32.4,4.993,29.4538
1013.4,27.4,76.7,35.28,4.987,29.377
1013.3,27.6,77.2,36,4.98,29.3734
1013.2,27.5,76.4,35.28,4.967,29.3858
1013.1,27.5,75.6,34.92,4.978,29.3705
1012.9,27.5,77.2,33.12,4.97,29.3667
1012.7,27.5,78.6,34.56,4.99,29.3069
1012.6,27.5,77.2,32.04,4.989,29.2906
1012.5,27.5,77,33.12,5.015,29.2696
1012.3,27.6,77.2,35.28,5.02,29.2571
1012.3,27.6,76.7,33.84,5.05,29.2496
1012.2,27.7,77.3,30.24,5.064,29.2461
1012,27.7,76.5,29.16,5.099,29.2474
1011.9,27.8,76.9,30.24,5.131,29.2451
1011.8,27.8,76.5,31.68,5.17,29.2452
1011.7,27.9,76.3,29.52,5.213,29.2443
1011.6,27.8,77.7,31.68,5.249,29.242
1011.5,27.6,77,34.56,5.297,29.2397
1011.3,27.8,77.7,34.2,5.349,29.2389
1011,27.8,76.7,34.2,5.387,29.239
1010.9,27.7,77.8,33.84,5.436,29.2393
1010.7,27.7,75.8,34.2,5.49,29.2401
1010.7,27.8,78.7,32.04,5.544,29.2467
1010.5,27.7,76.3,34.56,5.577,29.2414
1010.4,27.8,78.1,31.68,5.628,29.2365
1010.2,27.8,76,35.28,5.672,29.2311
1010.3,27.7,77.7,31.32,5.728,29.2242
1010.1,27.7,76.6,31.32,5.765,29.1998
1010.1,27.9,77.1,30.6,5.808,29.1662
1010.1,27.7,77,30.6,5.859,29.1025
1010.1,27.7,76.2,32.4,5.878,29.1552
1010.2,27.8,78.9,30.6,5.931,29.1492
1010.1,27.7,77.6,28.8,5.97,29.1009
1010,27.7,79.2,29.88,5.994,29.114
1010,27.7,78.8,30.6,6.012,29.1275
1010.1,27.7,78.1,32.4,6.041,29.0306
1010.1,27.6,77.4,32.4,6.086,28.975
1010.2,27.6,76.4,31.32,6.115,28.9738
1010.3,27.7,77.4,28.08,6.139,28.9651
1010.4,27.7,77.4,29.16,6.189,28.9871
1010.4,27.6,77.9,29.16,6.225,29.011
1010.4,27.6,77.7,32.4,6.241,29.0456
1010.4,27.6,78.8,30.96,6.279,29.0737
1010.5,27.6,77.3,29.16,6.328,29.0998
1010.5,27.6,77.6,28.44,6.368,29.1072
1010.5,27.6,77.1,28.44,6.393,29.1026
1010.6,27.7,78.1,28.08,6.43,29.0782
1010.7,27.7,77.7,28.08,6.473,29.0518
1010.9,27.6,78.4,25.2,6.507,29.0193
1010.8,27.4,77.2,27.72,6.556,29.0063
1010.9,27.5,77.7,30.6,6.575,28.9993
1010.9,27.4,77.2,35.28,6.603,28.9574
1011,27.3,77.2,31.68,6.612,28.9221
1011.3,27.3,78.7,33.48,6.668,28.937
1011.4,27.2,78.7,33.12,6.673,28.9407
1011.5,27.2,78.3,32.76,6.701,28.9687
1011.7,27.1,79.5,31.68,6.757,29.0064
1011.8,27.1,79.3,31.68,6.768,29.0652
1011.8,27,78.5,29.88,6.789,29.0748
1011.8,27,79.6,30.96,6.827,29.0795
1011.9,27,78.5,34.92,6.839,29.1098
1011.9,27,79.9,32.4,6.85,29.1279
1011.9,27.1,80.9,31.32,6.854,29.1337
1011.9,27,80.6,33.48,6.879,29.1368
1011.9,26.9,80.6,33.84,6.896,29.1366
1012.1,27,81.2,32.4,6.907,29.1377
1012.2,26.9,80.7,32.04,6.896,29.1381
1012.1,27,81.4,32.4,6.926,29.1403
1012.3,26.9,80.8,29.88,6.928,29.1409
1012.4,27,81.2,33.12,6.93,29.1405
1012.5,27,81.5,30.96,6.92,29.1318
1012.6,27.1,81.5,32.76,6.922,29.1178
1012.6,27.1,81,32.4,6.923,29.103
1012.5,27,81.4,33.12,6.929,29.0948
1012.5,27,80.9,34.56,6.92,29.0875
1012.7,27.1,81.9,33.48,6.891,29.0831
1012.8,27.1,81.2,33.84,6.875,29.0773
1012.9,27.2,81.9,30.96,6.869,29.0767
1012.8,27.1,82.3,30.24,6.838,29.0737
1012.7,27.1,80.9,34.2,6.83,29.0711
1012.6,27.1,79.6,32.4,6.806,29.0679
1012.5,27.1,80.1,31.32,6.783,29.0671
1012.5,27.2,81.7,30.96,6.739,29.0688
1012.4,27.1,81.2,27.36,6.744,29.0667
1012.2,27,82.5,28.44,6.686,29.0571
1012.2,27.1,80.8,28.08,6.65,29.0372
1012.1,27,80.5,29.88,6.631,29.0213
1012,27,81.5,27.36,6.604,29.019
1011.9,26.9,81.4,27.72,6.554,29.0164
1012,27,81.2,26.28,6.528,29.0125
1012,26.9,80.3,25.2,6.5,29.0143
1012,26.9,81,23.04,6.458,29.0129
1012,26.9,81.3,23.04,6.413,29.006
1011.9,27,82,23.4,6.391,29.0051
1011.9,26.9,82.5,24.12,6.342,28.9958
1011.7,26.8,81.1,23.4,6.3,28.9827
1011.6,26.9,81.8,23.76,6.251,28.9763
1011.5,26.9,82,23.04,6.197,28.9738
1011.4,26.8,82.2,23.04,6.182,28.9839
1011.3,26.8,82.9,21.96,6.15,28.9981
1011.1,26.8,82.4,24.84,6.094,29.0093
1011.1,26.8,83,23.4,6.078,29.0235
1011.1,26.7,82.6,26.28,6.04,29.0441
1011.1,26.9,83.4,25.2,5.98,29.0485
1011.1,26.8,82.9,27,5.955,29.0444
1011.1,26.8,82.9,25.2,5.938,29.0398
1011,26.8,83.4,26.28,5.912,29.0362
1011,26.8,83.6,27,5.898,29.0334
1010.9,26.9,82.7,30.24,5.85,29.0286
1011,26.9,82.5,30.96,5.84,29.0253
1011.1,26.9,82,29.88,5.819,29.0231
1011.3,26.9,82.7,29.52,5.787,29.0197
1011.3,26.9,81.8,28.8,5.787,29.0173
1011.3,27,82,28.08,5.766,29.016
1011.4,27,82.5,28.08,5.747,29.0167
1011.6,26.9,82.5,28.08,5.736,29.0165
1011.7,26.9,82.3,25.56,5.709,29.0189
1011.7,26.9,82.6,25.2,5.712,29.0205
1011.7,26.9,83.3,26.28,5.689,29.0203
1011.7,26.9,81.9,27.72,5.684,29.0209
1011.9,26.8,82.2,26.64,5.683,29.02
1011.9,26.9,83,26.64,5.675,29.0152
1012.1,26.9,82.8,25.92,5.651,29.0123
1012.2,26.8,83.6,25.2,5.652,29.0107
1012.3,26.8,82.8,25.56,5.649,29.0095
1012.4,26.9,83.6,24.48,5.639,29.0104
1012.4,26.9,82.8,27.36,5.636,29.0073
1012.6,26.9,83.5,27.72,5.61,29.0005
1012.7,26.9,83.5,25.2,5.597,28.9983
1012.7,26.9,82.7,27,5.592,28.9938
1012.9,27,82.6,27,5.579,28.9904
1012.9,27.1,82.4,31.68,5.565,28.983
1013,27.1,83.1,29.16,5.538,28.9803
1013.1,27.1,81.4,29.88,5.521,28.9883
1013.2,27.1,82.1,28.08,5.525,28.9939
1013.2,27.1,81.7,27.36,5.503,28.9978
1013.2,27.2,81.2,28.8,5.465,29.001
1013.1,27.2,80.9,29.88,5.469,29.0076
1013.1,27.3,82.3,31.32,5.455,29.0141
1013,27.3,81.4,34.2,5.443,29.0203
1012.8,27.3,80.3,36.72,5.441,29.0232
1012.6,27.3,80.9,36.72,5.428,29.0227
1012.6,27.3,80.9,37.8,5.411,29.0199
1012.4,27.5,81.5,36,5.412,29.0167
1012.2,27.4,81.3,34.2,5.414,29.0152
1012,27.5,81,33.12,5.411,29.0133
1011.8,27.5,82.5,31.68,5.41,29.0099
1011.6,27.5,79.4,34.56,5.413,29.0066
1011.5,27.5,80.7,32.4,5.432,29.0026
1011.3,27.5,80.1,31.68,5.449,29.0014
1011.2,27.6,80.3,32.04,5.45,28.999
1010.9,27.6,80.6,30.96,5.475,28.9999
1010.8,27.5,80.8,33.84,5.522,29.0031
1010.7,27.6,80,36,5.516,29.0041
1010.6,27.5,79.6,35.28,5.552,29.008
1010.5,27.5,80.1,30.24,5.598,29.0103
1010.4,27.6,79.2,33.48,5.633,29.0126
1010.4,27.6,79.3,33.48,5.683,29.0163
1010.4,27.6,78.1,34.92,5.708,29.0177
1010.4,27.6,78.3,34.92,5.751,29.0157
1010.3,27.6,79.5,37.8,5.806,29.0145
